#Old Category Id; New Category Id
1;0
2;537
12;540
13;542
14;544
15;541
16;5049
17;543
18;6869
19;2847
20;3661
22;7191
23;1242
24;1241
25;1244
26;560
27;555
28;539
30;3860
31;1243
32;3459
33;2764
34;547
36;568
37;4386
38;5845
39;4486
41;4387
43;561
44;5629
45;564
46;4768
47;5296
48;6950
49;2125
50;565
51;7234
52;562
53;5720
55;5719
56;5718
57;563
58;5630
61;5298
62;5843
63;6952
64;552
65;6953
66;548
67;553
68;2949
69;7200
70;5628
71;6883
72;6971
73;550
74;7001
75;6949
76;551
77;7014
79;166
80;1604
81;1594
83;1516
84;1580
86;182
87;5622
88;5425
89;5423
91;5412
92;5549
93;5409
94;5424
95;5621
96;5410
97;5408
98;211
107;5441
108;5330
109;5329
110;5182
111;7132
112;5250
113;5490
114;204
123;2271
128;7313
129;208
130;2302
131;5713
132;5513
133;2580
134;1581
135;212
143;207
147;5344
148;5322
149;3951
150;5378
152;5460
153;5462
154;5552
156;5379
158;5517
159;5463
160;7003
161;6006
162;5555
163;5697
164;3188
165;3729
166;3455
167;3128
168;6087
191;5388
192;6031
193;5674
194;5673
197;5343
204;5483
205;7281
206;5676
207;2306
208;5484
209;5878
210;5949
211;206
212;3414
213;3598
214;3888
215;3191
216;3439
217;3683
218;5564
219;3958
220;4003
221;3724
222;3852
223;3253
224;3379
225;7235
228;2396
229;2292
230;213
231;7207
232;7210
233;7211
234;7208
236;214
238;1772
239;2563
240;1675
241;2160
243;2963
244;1578
245;209
246;215
247;2745
248;5834
249;2562
250;203
251;5506
252;5598
270;1831
271;167
272;5390
275;5687
276;5685
277;4179
281;168
282;5443
283;5446
284;5207
285;5114
286;169
287;3913
288;171
289;5914
290;1948
291;1483
293;5915
294;2477
296;6183
297;4057
298;1662
299;7230
300;170
305;179
306;173
318;6985
319;2020
320;7054
321;1922
322;5939
323;6984
324;176
329;180
330;6268
331;193
332;7133
333;6238
334;177
336;1893
337;178
338;1786
339;5422
340;5624
341;5626
342;5623
343;5625
344;6552
345;5841
346;6460
347;175
348;6277
349;6551
350;6170
351;2668
352;3032
359;6169
360;184
364;5192
365;7304
367;5426
368;8018
369;5907
370;5193
371;5387
372;5194
374;188
378;191
380;192
383;189
384;196
385;190
386;194
387;200
388;6463
389;5122
390;7471
391;5123
392;6870
393;1933
394;7078
395;1856
396;2427
397;5567
398;5385
399;187
466;922
467;923
468;5997
469;6885
470;925
471;6884
472;4312
473;4303
474;4086
475;4212
476;2139
477;4183
478;7080
479;4182
480;926
484;3062
485;928
486;927
487;5531
488;6177
492;5070
493;6962
494;930
495;6779
496;939
499;6171
500;6190
501;6174
502;6176
503;6175
504;4941
505;93
506;2986
507;943
508;947
509;4499
510;935
512;941
514;977
515;6065
516;6068
517;981
518;3026
519;6066
521;982
522;980
523;4752
524;978
525;979
526;2623
527;4470
528;4472
529;4471
531;7117
535;2883
536;950
537;953
538;954
539;337
540;952
541;1708
542;955
543;6404
544;333
545;6519
546;6462
547;6520
548;6521
549;6373
550;6180
551;6182
552;1996
553;6179
554;6181
555;5829
556;2435
557;2014
559;6486
560;1803
561;6467
564;2207
565;1836
570;6178
571;964
572;966
573;2263
574;2401
575;2674
576;1627
579;4492
580;967
581;968
582;963
583;969
584;970
585;4465
586;965
587;971
588;932
589;936
590;960
591;4377
592;5502
593;4137
594;4154
595;4117
596;4200
597;944
598;948
604;6319
605;956
606;5264
607;3457
608;958
609;962
611;1513
612;5918
613;2689
614;959
615;5919
616;961
617;2658
618;3871
619;6930
620;957
621;949
623;2636
625;975
626;974
628;222
630;223
631;2165
632;241
633;236
634;5129
635;5130
636;4035
637;224
638;4493
639;5381
640;6545
641;6546
643;249
647;234
649;246
650;247
651;248
652;5435
653;3945
654;5596
655;5369
656;5597
657;242
658;226
659;244
660;225
661;252
662;4652
663;230
664;243
665;233
666;5434
667;235
668;256
670;6886
673;251
674;1420
678;7163
680;8049
681;8047
682;3306
685;2372
687;239
688;5395
689;5396
690;232
691;3055
693;2154
694;3727
695;3242
696;4921
697;4922
698;4923
700;278
701;5254
771;331
790;325
791;298
793;3539
794;3769
795;5255
796;328
798;4745
799;345
808;306
826;340
827;1550
828;1552
829;4450
830;2178
854;2082
855;258
856;4463
857;146
859;7182
860;1718
864;5476
865;5477
866;5478
867;6016
868;5466
869;5467
870;5468
871;5523
878;5469
879;4617
883;341
884;259
885;1867
895;3461
897;1480
906;1763
907;3541
908;3328
909;6780
910;4016
911;3764
912;6402
913;5273
925;5473
926;288
927;1665
928;384
929;3387
930;1733
931;2130
932;1767
933;3422
934;3672
935;275
936;276
937;1880
940;1745
941;1722
942;1564
943;4928
944;5133
945;6289
946;2222
947;7166
948;3130
949;7167
950;2978
958;6790
968;3160
972;5380
977;6544
978;3895
979;3213
980;3781
981;4488
982;262
983;266
985;5275
986;2471
987;2106
988;4415
989;273
990;263
992;268
993;360
994;5404
995;270
996;4666
997;267
1001;264
1002;7347
1005;4550
1006;5566
1007;2353
1008;1924
1009;272
1010;271
1011;265
1012;269
1013;274
1014;1801
1018;7395
1019;1337
1021;1544
1029;2182
1030;2205
1031;342
1032;1350
1033;5659
1035;2358
1036;5496
1037;5497
1038;3425
1039;2455
1040;2479
1041;343
1042;5576
1043;290
1045;3742
1047;2121
1049;3356
1050;3140
1051;3946
1052;3681
1053;3117
1054;3676
1055;386
1056;305
1057;404
1062;396
1063;399
1064;397
1065;398
1066;5561
1067;5562
1068;401
1069;1634
1070;387
1071;388
1072;389
1075;390
1077;391
1078;1368
1079;5278
1080;5450
1082;2027
1083;4760
1084;283
1085;5516
1086;393
1087;395
1088;394
1089;5257
1090;5599
1091;4570
1092;2145
1093;403
1094;5471
1095;4458
1096;5503
1097;1294
1131;1270
1132;1505
1152;2070
1165;888
1166;5613
1184;3977
1257;899
1276;908
1285;3318
1296;2977
1301;2805
1307;2820
1339;3020
1340;2932
1341;6090
1342;7253
1345;6088
1346;2556
1347;911
1348;6093
1349;6091
1350;7252
1353;2989
1355;2642
1360;2727
1388;2534
1396;913
1398;3436
1400;3812
1401;2895
1402;2894
1403;2590
1404;2846
1409;2643
1410;2495
1412;2722
1415;5995
1416;5994
1417;2667
1418;2652
1419;7022
1420;2789
1423;2788
1424;2770
1425;3051
1427;2916
1428;2635
1429;2688
1430;2735
1431;2517
1433;2881
1434;2719
1435;2943
1465;3391
1466;3315
1467;3189
1468;3452
1469;3362
1470;3480
1471;3655
1472;3718
1473;3572
1474;3899
1475;6293
1476;3400
1477;3968
1478;3415
1479;3892
1480;3648
1481;1132
1482;1125
1483;3619
1484;3309
1485;3232
1486;3606
1487;3566
1488;3507
1489;3097
1490;3743
1491;3277
1492;3143
1493;3321
1494;3806
1495;3463
1496;1122
1498;3955
1499;3866
1500;3995
1501;3308
1502;3663
1503;772
1504;773
1505;779
1507;776
1508;774
1509;5055
1510;6040
1511;4060
1512;6536
1513;778
1514;469
1515;491
1516;5849
1517;5850
1518;5851
1520;4551
1521;4552
1522;7002
1523;7220
1530;508
1531;2954
1532;4527
1534;510
1535;509
1536;6206
1537;516
1538;4753
1539;6205
1541;2890
1543;6242
1545;5702
1547;6871
1548;2984
1550;525
1552;5966
1554;5690
1555;517
1556;494
1557;2633
1558;495
1559;2246
1560;497
1561;501
1564;496
1565;500
1566;4767
1567;5551
1569;5923
1570;5965
1575;519
1576;5488
1577;7243
1579;5164
1580;5165
1581;4248
1582;5166
1583;6929
1584;520
1585;3512
1586;3364
1589;7138
1590;523
1594;5071
1595;3688
1596;6323
1597;3905
1598;3111
1600;5072
1601;6284
1602;6285
1604;2915
1605;1380
1606;2922
1607;524
1608;2733
1609;2521
1611;2923
1612;3011
1613;6510
1614;6509
1616;6977
1617;485
1618;6862
1620;2387
1621;2564
1622;484
1623;7134
1624;515
1626;2801
1627;3049
1628;3022
1630;7495
1631;777
1632;486
1633;6053
1634;2814
1635;3013
1636;6019
1637;3407
1638;490
1639;487
1640;489
1641;488
1642;6099
1643;6052
1644;4766
1645;2441
1646;1901
1647;6429
1648;5977
1649;6018
1650;4569
1651;4475
1652;5317
1653;473
1654;474
1655;2875
1656;2876
1657;4049
1659;3208
1660;3691
1661;2522
1662;2503
1663;7417
1664;2747
1665;479
1666;475
1667;567
1668;481
1669;7429
1670;2740
1671;5338
1673;5339
1675;6262
1676;2526
1678;5820
1679;5980
1680;6104
1681;482
1682;2592
1687;6034
1688;6791
1689;5976
1690;2844
1691;6753
1692;2619
1693;2958
1694;2511
1695;7190
1696;6260
1697;6760
1698;7018
1699;6261
1700;2548
1702;6555
1703;6282
1706;3025
1707;4106
1708;476
1709;4121
1710;2780
1711;2975
1712;6300
1713;2734
1714;7490
1715;3037
1716;2739
1717;2828
1718;6341
1719;5880
1722;477
1730;4779
1731;5978
1732;5979
1733;5981
1734;2645
1735;2858
1736;2589
1737;6306
1738;3021
1740;6072
1741;2571
1742;2765
1743;6304
1744;2980
1745;6305
1746;3509
1747;478
1748;4218
1749;3009
1750;6893
1751;5975
1752;2683
1753;2946
1754;7445
1755;6331
1756;5663
1757;471
1758;1442
1759;2074
1760;5664
1761;526
1762;6455
1763;5824
1764;6715
1766;5295
1768;6189
1769;3040
1770;3019
1771;527
1772;4775
1773;4776
1774;4942
1775;6920
1776;2527
1777;2769
1778;1360
1779;5154
1780;5155
1781;2620
1782;4316
1783;6441
1784;506
1785;6562
1786;2596
1787;6560
1788;6559
1789;5706
1790;6561
1791;7542
1792;528
1793;2508
1794;533
1795;4507
1796;4509
1797;4508
1798;4510
1799;7199
1802;2971
1803;534
1804;2681
1805;5111
1806;529
1807;6842
1808;531
1811;4076
1812;6017
1813;4211
1814;4313
1815;4056
1816;472
1817;6921
1819;4929
1820;2934
1821;5573
1823;5974
1824;536
1825;574
1826;577
1827;575
1828;4366
1829;6858
1830;7093
1831;578
1832;580
1833;2034
1834;586
1835;5141
1836;579
1837;2418
1838;4971
1839;582
1841;7509
1842;584
1843;585
1844;8016
1845;594
1851;2370
1853;4636
1856;3006
1857;2524
1858;2249
1859;2809
1860;6073
1862;2425
1863;2944
1864;2947
1865;3329
1866;2690
1871;2608
1873;1436
1874;2956
1875;3522
1876;3185
1877;7447
1878;7338
1879;4171
1880;569
1881;2541
1883;2314
1884;2974
1885;1985
1889;2700
1891;4452
1892;2991
1893;4420
1894;1599
1896;4077
1897;576
1898;4257
1899;4126
1900;601
1901;4203
1902;6325
1903;2547
1904;4143
1905;6322
1906;4343
1909;696
1910;597
1913;6333
1915;6334
1916;7052
1918;7176
1919;7339
1920;706
1921;7436
1922;702
1926;2921
1927;2763
1928;587
1929;6317
1930;7113
1932;5875
1934;6935
1935;603
1936;6492
1937;5989
1938;4375
1939;2885
1941;2882
1942;6530
1943;596
1944;5359
1945;5990
1946;6531
1947;5504
1948;3144
1949;6603
1951;6532
1953;5609
1954;701
1955;4770
1956;6993
1957;6994
1958;6995
1959;698
1960;2675
1961;5708
1962;704
1966;7173
1967;3262
1968;7382
1969;572
1975;7422
1976;6267
1977;573
1978;5876
1979;6265
1984;6266
1985;710
1986;6927
1987;592
1988;5847
1989;3898
1990;4740
1991;3686
1993;709
1994;4456
1995;6457
1996;5922
1997;6535
1998;599
1999;6324
2000;4453
2001;711
2002;4295
2003;5885
2004;595
2005;3473
2006;6456
2008;598
2011;7172
2012;6936
2013;4233
2014;3890
2015;3696
2016;6912
2017;3840
2019;4546
2022;602
2024;697
2028;712
2029;2839
2030;714
2031;4454
2036;6254
2037;8042
2038;6256
2039;6257
2040;6255
2041;1679
2042;1434
2044;1871
2045;7226
2046;7227
2050;1934
2051;630
2052;4516
2053;637
2054;4517
2055;5143
2056;6757
2058;4717
2059;6758
2060;6765
2061;636
2063;5631
2064;3561
2065;2446
2067;5707
2068;5494
2069;4360
2070;40
2071;4237
2072;6986
2073;5558
2074;7514
2075;631
2076;5559
2082;7255
2083;5128
2084;7351
2085;3355
2086;2530
2087;2742
2088;3846
2089;624
2090;629
2092;7214
2093;2374
2094;5056
2095;623
2096;2610
2097;2857
2098;4671
2099;6437
2100;6264
2101;6419
2102;4973
2103;7330
2105;7426
2106;4975
2107;4976
2108;6474
2109;7552
2111;5825
2113;7510
2115;4974
2116;8043
2117;4979
2118;4980
2119;4981
2120;7462
2121;4515
2122;5113
2123;4670
2125;2796
2126;2250
2127;6263
2128;4677
2129;2713
2130;628
2131;8031
2132;5601
2133;2301
2134;1874
2135;5604
2136;8033
2137;8032
2138;1659
2139;2431
2140;2371
2141;5600
2142;728
2143;2631
2144;4220
2145;2865
2146;512
2147;7137
2148;2869
2149;3307
2150;627
2151;4982
2152;633
2153;4656
2154;4657
2155;5705
2156;3080
2157;7502
2158;7457
2159;6240
2161;5084
2162;2754
2163;2794
2164;5704
2165;634
2166;2677
2167;6387
2168;5085
2169;604
2170;5294
2171;7121
2172;4483
2174;6741
2177;621
2179;1626
2180;6709
2181;7328
2182;605
2184;613
2185;606
2186;2060
2187;611
2189;2649
2190;608
2191;1700
2192;7527
2193;4485
2194;2535
2195;6727
2196;3082
2199;619
2200;616
2201;2706
2203;5138
2204;5140
2205;2549
2206;2849
2207;2612
2208;3348
2209;2751
2210;2221
2211;2175
2212;1835
2213;1744
2214;1709
2215;2310
2216;4667
2218;6773
2219;7110
2220;7111
2221;4650
2222;4651
2223;2367
2224;5826
2225;3573
2226;3862
2227;3402
2228;3410
2229;3667
2235;618
2242;5089
2243;3456
2244;5159
2249;5158
2250;5160
2252;359
2253;2161
2254;3873
2255;3819
2256;365
2257;363
2259;5491
2260;364
2261;2639
2262;6792
2265;638
2266;649
2267;7075
2268;1817
2269;650
2271;4562
2272;7139
2278;2363
2279;2976
2280;7238
2281;4563
2282;7008
2285;2920
2287;3435
2288;1444
2289;5060
2290;4520
2291;4521
2292;4522
2293;4722
2294;1017
2295;2507
2296;671
2297;3800
2298;3809
2299;6449
2300;2626
2301;6478
2302;6479
2303;8039
2304;5837
2305;3337
2306;3591
2307;5134
2308;2644
2310;667
2311;3110
2312;1496
2313;3750
2314;5642
2315;3956
2316;6534
2317;6070
2318;640
2319;647
2320;641
2321;4764
2322;642
2323;648
2324;6756
2325;645
2326;643
2328;2843
2329;646
2331;4502
2332;7131
2333;4503
2334;4726
2336;654
2337;6071
2338;655
2339;658
2340;5110
2341;4721
2342;4459
2343;6838
2344;6518
2345;4423
2346;657
2347;660
2349;662
2350;661
2351;663
2354;659
2355;664
2356;4424
2357;4529
2358;4501
2359;4660
2360;4661
2361;4427
2362;4663
2363;4662
2364;730
2365;610
2366;684
2369;2985
2372;683
2376;732
2377;1015
2379;743
2381;4161
2382;4421
2383;7165
2386;750
2389;738
2390;6524
2391;681
2392;680
2393;5287
2394;6543
2395;766
2396;736
2397;1647
2398;2422
2399;1388
2401;2247
2402;5286
2403;679
2404;747
2405;4532
2406;760
2407;739
2409;757
2410;6523
2411;6279
2412;685
2413;686
2414;687
2415;744
2420;752
2421;753
2422;3526
2423;4482
2424;688
2425;755
2426;756
2431;5057
2432;748
2433;5103
2434;5349
2436;4292
2438;4528
2439;5090
2440;5289
2441;6516
2442;6819
2443;5318
2444;6278
2445;5291
2446;5292
2447;759
2448;762
2450;764
2451;3293
2452;763
2453;765
2454;751
2455;5577
2456;4539
2457;3319
2458;668
2459;3835
2460;653
2461;6554
2462;3850
2463;3430
2464;3768
2466;3347
2467;4771
2468;7329
2469;6787
2470;4247
2471;733
2472;6497
2473;4746
2474;741
2475;6411
2476;6412
2477;6526
2478;5928
2479;5078
2480;3248
2481;7485
2482;3268
2483;7149
2484;5109
2485;6342
2486;3620
2487;3385
2488;3091
2490;3713
2491;8006
2492;665
2493;2948
2495;3831
2496;2344
2497;8012
2498;6480
2500;3061
2501;6487
2502;5157
2503;3072
2504;3845
2505;3479
2506;5059
2507;4322
2508;6415
2509;3256
2510;3633
2511;3419
2512;3086
2513;5251
2514;3206
2520;4765
2522;4005
2523;4334
2524;5370
2525;3475
2526;3999
2527;3723
2528;6749
2529;3196
2530;3421
2531;7365
2532;3175
2533;3202
2534;3708
2535;3258
2536;3156
2537;4530
2538;3914
2539;4777
2540;6388
2541;3597
2542;666
2545;639
2546;3381
2547;3586
2548;3685
2549;4214
2550;6746
2551;5080
2552;3294
2554;7247
2555;4559
2556;4332
2557;3467
2558;4705
2559;4707
2560;4706
2561;6723
2562;4708
2563;670
2564;6408
2566;6522
2568;6974
2569;672
2570;673
2571;5537
2572;3498
2573;3553
2574;652
2575;6740
2576;676
2577;6425
2578;6434
2579;6427
2580;6426
2581;4026
2582;4735
2583;6086
2584;7550
2585;3330
2586;5135
2587;3703
2588;3802
2589;4009
2590;3941
2591;4372
2592;3373
2593;675
2594;5647
2595;3699
2596;6439
2599;4015
2600;3939
2601;3844
2602;677
2603;674
2604;7568
2608;2169
2609;6049
2612;6051
2613;2694
2614;2712
2620;6958
2621;2951
2624;2901
2625;3684
2626;7540
2627;3855
2628;3382
2629;4560
2631;5672
2632;5670
2633;5694
2634;5671
2639;4653
2640;4655
2641;4654
2643;4519
2644;6944
2645;6945
2646;6946
2647;3954
2654;6747
2655;3848
2656;1334
2662;2540
2671;4674
2672;4675
2673;3443
2675;7444
2676;3523
2677;3124
2678;7118
2679;7119
2681;3489
2682;7006
2683;7187
2685;5570
2686;3988
2687;5066
2689;3450
2690;4500
2691;3239
2692;6888
2693;3838
2694;5065
2695;4763
2699;5075
2700;8051
2701;8053
2702;8052
2703;5076
2705;5835
2706;4490
2707;4491
2708;7058
2709;5836
2710;985
2711;984
2712;1684
2713;6762
2716;2802
2717;5590
2718;729
2719;2832
2720;2860
2722;2672
2723;3017
2724;2981
2726;6996
2728;2997
2729;2755
2731;6771
2733;2939
2734;5654
2735;5546
2736;2810
2737;3992
2738;2982
2739;689
2740;3568
2741;4201
2742;4718
2743;2313
2744;6318
2748;3780
2749;3491
2750;1302
2751;2918
2752;2613
2753;703
2754;700
2755;6105
2756;6108
2757;7424
2758;6106
2759;6107
2760;7423
2761;716
2763;718
2764;717
2765;6737
2766;5910
2767;5913
2768;5912
2769;5911
2775;719
2776;2962
2777;721
2778;113
2779;3173
2780;6967
2781;3841
2785;7537
2789;3071
2790;3644
2791;1967
2794;3388
2795;2147
2796;3616
2799;3828
2800;693
2801;3103
2802;4085
2803;690
2804;6436
2805;6840
2806;691
2807;2988
2808;6428
2811;6834
2812;1794
2813;6381
2814;6413
2815;6422
2817;5632
2818;5633
2820;7184
2821;3798
2822;2204
2823;3120
2826;1226
2827;3610
2828;3340
2829;6789
2830;694
2831;3311
2832;3730
2833;6788
2834;6258
2835;1223
2836;1541
2837;5866
2838;5362
2840;5363
2841;4564
2842;7333
2846;7265
2848;6328
2849;4565
2850;4646
2851;4647
2852;7168
2854;7563
2856;4567
2857;5867
2858;7169
2873;600
2874;4082
2876;6878
2877;6880
2879;6881
2880;6882
2882;6173
2883;4358
